
55	STELLA MARY S COLLEGE OF ENGINEERING	Tamil Nadu	KANYAKUMARI	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2025	60
56	MVJ COLLEGE OF ENGINEERING	Karnataka	BANGALORE URBAN	Private-Self Financing	Visvesvaraya Technological University, Belgaum	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	CHEMICAL ENGINEERING	30-06-2025	30
57	MVJ COLLEGE OF ENGINEERING	Karnataka	BANGALORE URBAN	Private-Self Financing	Visvesvaraya Technological University, Belgaum	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2024	30
58	MVJ COLLEGE OF ENGINEERING	Karnataka	BANGALORE URBAN	Private-Self Financing	Visvesvaraya Technological University, Belgaum	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRICAL AND ELECTRONICS ENGINEERING	30-06-2025	30
59	MVJ COLLEGE OF ENGINEERING	Karnataka	BANGALORE URBAN	Private-Self Financing	Visvesvaraya Technological University, Belgaum	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE AND ENGINEERING	30-06-2024	240
60	MVJ COLLEGE OF ENGINEERING	Karnataka	BANGALORE URBAN	Private-Self Financing	Visvesvaraya Technological University, Belgaum	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	INFORMATION SCIENCE AND ENGINEERING	30-06-2025	120
61	DKTE SOCIETY S YASHWANTRAO CHAVAN POLYTECHNIC	Maharashtra	KOLHAPUR	Private-Self Financing	Maharashtra State Board of Technical Education, Mumbai	ENGINEERING AND TECHNOLOGY	DIPLOMA	CIVIL ENGINEERING	30-06-2025	60
62	DKTE SOCIETY S YASHWANTRAO CHAVAN POLYTECHNIC	Maharashtra	KOLHAPUR	Private-Self Financing	Maharashtra State Board of Technical Education, Mumbai	ENGINEERING AND TECHNOLOGY	DIPLOMA	ELECTRICAL ENGINEERING	30-06-2025	60
63	DKTE SOCIETY S YASHWANTRAO CHAVAN POLYTECHNIC	Maharashtra	KOLHAPUR	Private-Self Financing	Maharashtra State Board of Technical Education, Mumbai	ENGINEERING AND TECHNOLOGY	DIPLOMA	MECHANICAL ENGINEERING	30-06-2025	60
64	DKTE SOCIETY S YASHWANTRAO CHAVAN POLYTECHNIC	Maharashtra	KOLHAPUR	Private-Self Financing	Maharashtra State Board of Technical Education, Mumbai	ENGINEERING AND TECHNOLOGY	DIPLOMA	ELECTRONICS AND TELECOMMUNICATION ENGINEERING	30-06-2025	60
65	DKTE SOCIETY S YASHWANTRAO CHAVAN POLYTECHNIC	Maharashtra	KOLHAPUR	Private-Self Financing	Maharashtra State Board of Technical Education, Mumbai	ENGINEERING AND TECHNOLOGY	DIPLOMA	COMPUTER SCIENCE & ENGINEERING	30-06-2025	120
66	GURU GOBIND SINGH COLLEGE OF ENGINEERING AND RESEARCH CENTRE NASHIK	Maharashtra	NASHIK	Private-Self Financing	University of Pune, Pune	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2025	60
67	SREE BUDDHA COLLEGE OF ENGINEERING PATTOOR	Kerala	ALAPPUZHA	Private-Self Financing	APJ Abdul Kalam Technological University, Kerala	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	BIOTECHNOLOGY AND BIOCHEMICAL ENGINEERING	30-06-2025	30
